country,holiday_date,holiday_name
Honduras,2018-10-03,Morazan´s Day
Honduras,2018-10-12,Columbus Day
Honduras,2018-10-21,Army Day
Honduras,2018-12-25,Christmas Day

Jamaica,2018-01-01,New Year's Day
Jamaica,2018-01-14,Ash Wednesday
Jamaica,2018-03-30,Good Friday
Jamaica,2018-04-02,Easter Monday
Jamaica,2018-05-23,Labor Day / May Day
Jamaica,2018-08-01,Emancipation Day
Jamaica,2018-08-06,Independence Day
Jamaica,2018-10-15,National Heroes' Day
Jamaica,2018-12-25,Christmas Day
Jamaica,2018-12-26,Boxing Day

Martinique,2018-01-01,New Year
Martinique,2018-04-02,Easter Monday
Martinique,2018-05-01,Labor Day
Martinique,2018-05-08,Victory Day
Martinique,2018-05-10,Ascension Day
Martinique,2018-05-21,Whit Monday
Martinique,2018-07-14,Bastille Day
Martinique,2018-08-15,Assumption of Mary
Martinique,2018-11-01,All Saints' Eve
Martinique,2018-11-11,Armistice Day
Martinique,2018-12-25,Christmas Day

Mexico,2018-01-01,New Year's Day
Mexico,2018-02-05,Constitution Day
Mexico,2018-03-19,Day off for Benito Juárez's Birthday Memorial
Mexico,2018-03-21,Benito Juárez's Birthday Memorial
Mexico,2018-05-01,Labor Day / May Day
Mexico,2018-07-01,Mexican general election
Mexico,2018-09-16,Independence Day
Mexico,2018-11-19,Day off for Revolution Day Memorial
Mexico,2018-11-20,Revolution Day Memorial
Mexico,2018-12-01,Inauguration day
Mexico,2018-12-25,Christmas Day

Montserrat,2018-01-01,New Year's Day
Montserrat,2018-03-17,	St. Patrick's Day
Montserrat,2018-03-19,St. Patrick's Day observed
Montserrat,2018-03-30,Good Friday
Montserrat,2018-Apr 2,Easter Monday
Montserrat,2018-05-07,Labour Day
Montserrat,2018-05-21,Whit Monday
Montserrat,2018-08-06,Emancipation Day
Montserrat,2018-12-25,Christmas Day
Montserrat,2018-12-26,Boxing Day
Montserrat,2018-12-31,Festival Day

Nicaragua,2018-01-01,New Year's Day
Nicaragua,2018-03-29,Maundy Thursday
Nicaragua,2018-03-30,Good Friday
Nicaragua,2018-05-01,Labor Day / May Day
Nicaragua,2018-07-19,The Sandinista Revolution Day
Nicaragua,2018-09-14,Battle of San Jacinto
Nicaragua,2018-09-15,Independence Day
Nicaragua,2018-12-08,Feast of the Immaculate Conception
Nicaragua,2018-12-25,Christmas Day

Panama,2018-01-01,New Year's Day
Panama,2018-01-08,Day off for Martyr´s Day
Panama,2018-01-09,Martyr´s Day
Panama,2018-02-13,Carnival/Shrove Tuesday
Panama,2018-03-30,Good Friday
Panama,2018-05-01,Labor Day / May Day
Panama,2018-11-03,Independence Day
Panama,2018-11-05,Colon Day
Panama,2018-11-10,Shout in Villa de los Santos
Panama,2018-11-26,Day off for Independence from Spain
Panama,2018-11-28,Independence from Spain
Panama,2018-12-08,Mother Day
Panama,2018-12-25,Christmas Day

Puerto Rico,2018-01-01,New Year's Day
Puerto Rico,2018-01-06,Epiphany
Puerto Rico,2018-03-30,Good Friday
Puerto Rico,2018-04-01,Easter Sunday
Puerto Rico,2018-05-13,Mothers' Day
Puerto Rico,2018-06-17,Fathers' Day
Puerto Rico,2018-11-22,Thanksgiving Day
Puerto Rico,2018-12-25,Christmas Day

St. Kitts & Nevis,2018-01-01,New Year's Day
St. Kitts & Nevis,2018-03-30,Good Friday
St. Kitts & Nevis,2018-04-02,Easter Monday
St. Kitts & Nevis,2018-05-01,Labor Day / May Day
St. Kitts & Nevis,2018-05-21,Whit Monday
St. Kitts & Nevis,2018-08-06,Emancipation Day
St. Kitts & Nevis,2018-09-16,National Heroes Day
St. Kitts & Nevis,2018-09-19,Independence Day
St. Kitts & Nevis,2018-12-25,Christmas Day
St. Kitts & Nevis,2018-12-26,Boxing Day

St. Lucia,2018-01-01,New Year's Day
St. Lucia,2018-02-22,Independence Day
St. Lucia,2018-03-30,Good Friday
St. Lucia,2018-04-02,Easter Monday
St. Lucia,2018-05-01,Labor Day / May Day
St. Lucia,2018-05-21,Whit Monday
St. Lucia,2018-05-31,Corpus Christi
St. Lucia,2018-08-01,Emancipation Day
St. Lucia,2018-10-01,Thanksgiving Day
St. Lucia,2018-12-13,National Day
St. Lucia,2018-12-25,Christmas Day
St. Lucia,2018-12-26,Boxing Day

St. Martin,2018-01-01,New Year's Day
St. Martin,2018-03-30,Good Friday
St. Martin,2018-04-01,Easter Day
St. Martin,2018-04-02,Easter Monday
